buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
4050.0,81.0,50.0,0.0,1.2859259807939383,4050,4050.0,38.88249969482422
4100.0,82.0,50.0,0.0,66.7005074850547,4100,4100.0,39.632121562957764
4150.0,83.0,50.0,0.0,66.55941338017016,4150,4150.0,40.383331060409546
4200.0,84.0,50.0,0.0,84.75289874722714,4200,4200.0,40.973283529281616
4250.0,85.0,50.0,0.0,80.37784430518064,4250,4250.0,41.59534668922424
4300.0,86.0,50.0,0.0,73.60191933716045,4300,4300.0,42.274678230285645
4350.0,87.0,50.0,0.0,65.50392354743786,4350,4350.0,43.03799295425415
4400.0,88.0,50.0,0.0,69.95464118905598,4400,4400.0,43.75274324417114
4450.0,89.0,50.0,0.0,76.83395250342559,4450,4450.0,44.403499126434326
4500.0,90.0,50.0,0.0,77.71627795285629,4500,4500.0,45.04686713218689
4550.0,91.0,50.0,0.0,65.66928813325798,4550,4550.0,45.80825996398926
4600.0,92.0,50.0,0.0,64.75177506425307,4600,4600.0,46.58044171333313
4650.0,93.0,50.0,0.0,63.442535121534924,4650,4650.0,47.368558168411255
4700.0,94.0,50.0,0.0,56.44117490328724,4700,4700.0,48.25443887710571
4750.0,95.0,50.0,0.0,66.11887924484282,4750,4750.0,49.010653495788574
4800.0,96.0,50.0,0.0,61.96653399638924,4800,4800.0,49.817543029785156
4850.0,97.0,50.0,0.0,63.85501668574769,4850,4850.0,50.60056805610657
4900.0,98.0,50.0,0.0,57.941355000042826,4900,4900.0,51.4635112285614
4950.0,99.0,50.0,0.0,67.12929278638074,4950,4950.0,52.20834422111511
5000.0,100.0,50.0,0.0,61.11298584507859,5000,5000.0,53.026504039764404
8099.0,181.0,50.0,0.0,0.4422980737802805,4050,4050.0,166.07244110107422
8199.0,182.0,50.0,0.0,71.20706409801076,4100,4100.0,166.77462005615234
8299.0,183.0,50.0,0.0,67.08185952662896,4150,4150.0,167.5199797153473
8399.0,184.0,50.0,0.0,63.53300295738781,4200,4200.0,168.30697345733643
8499.0,185.0,50.0,0.0,64.67489420546313,4250,4250.0,169.08007287979126
8599.0,186.0,50.0,0.0,62.11282627232472,4300,4300.0,169.88506174087524
8699.0,187.0,50.0,0.0,68.0818351220969,4350,4350.0,170.619473695755
8799.0,188.0,50.0,0.0,73.93233337434512,4400,4400.0,171.29577040672302
8899.0,189.0,50.0,0.0,66.13541419307555,4450,4450.0,172.0517966747284
8999.0,190.0,50.0,0.0,72.64484269392031,4500,4500.0,172.7400779724121
9099.0,191.0,50.0,0.0,57.82678589647081,4550,4550.0,173.60473346710205
9199.0,192.0,50.0,0.0,61.4774327923301,4600,4600.0,174.41804146766663
9299.0,193.0,50.0,0.0,62.14687825695531,4650,4650.0,175.22258877754211
9399.0,194.0,50.0,0.0,64.15700531788455,4700,4700.0,176.00192999839783
9499.0,195.0,50.0,0.0,60.30568770531779,4750,4750.0,176.831041097641
9599.0,196.0,50.0,0.0,68.81673008044444,4800,4800.0,177.55760955810547
9699.0,197.0,50.0,0.0,68.23783440460379,4850,4850.0,178.2903435230255
9799.0,198.0,50.0,0.0,63.68594325043221,4900,4900.0,179.0754473209381
9899.0,199.0,50.0,0.0,58.720561346919006,4950,4950.0,179.92693948745728
9999.0,200.0,50.0,0.0,51.546681637143564,5000,5000.0,180.8969361782074
10099.0,201.0,50.0,0.0,56.89652880364524,5050,5050.0,181.77572560310364
10199.0,202.0,50.0,0.0,57.64669015981572,5100,5100.0,182.64307951927185
10299.0,203.0,50.0,0.0,60.66061184389977,5150,5150.0,183.4673388004303
10399.0,204.0,50.0,0.0,75.83254263960566,5200,5200.0,184.12668800354004
10499.0,205.0,50.0,0.0,74.62629950484039,5250,5250.0,184.79669499397278
10599.0,206.0,50.0,0.0,69.3831894434032,5300,5300.0,185.51733255386353
10699.0,207.0,50.0,0.0,69.06739428629768,5350,5350.0,186.24126553535461
10799.0,208.0,50.0,0.0,70.60423688984113,5400,5400.0,186.94943976402283
10899.0,209.0,50.0,0.0,67.5913908281553,5450,5450.0,187.6891806125641
10999.0,210.0,50.0,0.0,77.83468250613224,5500,5500.0,188.33157682418823
11099.0,211.0,50.0,0.0,70.39820610039997,5550,5550.0,189.04182386398315
11199.0,212.0,50.0,0.0,64.83002132712923,5600,5600.0,189.81307315826416
11299.0,213.0,50.0,0.0,62.64272814548548,5650,5650.0,190.61125254631042
11399.0,214.0,50.0,0.0,70.09247056881081,5700,5700.0,191.32459712028503
11499.0,215.0,50.0,0.0,76.31632479649545,5750,5750.0,191.9797661304474
11599.0,216.0,50.0,0.0,74.62752107620956,5800,5800.0,192.6497619152069
11699.0,217.0,50.0,0.0,71.42610947667563,5850,5850.0,193.34978723526
11799.0,218.0,50.0,0.0,73.33932734841069,5900,5900.0,194.03155136108398
11899.0,219.0,50.0,0.0,70.70013683884403,5950,5950.0,194.73876476287842
11999.0,220.0,50.0,0.0,71.50694133071012,6000,6000.0,195.4379997253418
12099.0,221.0,50.0,0.0,71.53091671635153,6050,6050.0,196.1369993686676
12199.0,222.0,50.0,0.0,69.03013274417846,6100,6100.0,196.86132264137268
12299.0,223.0,50.0,0.0,71.4129511297718,6150,6150.0,197.56147718429565
12399.0,224.0,50.0,0.0,61.58275291072675,6200,6200.0,198.37339448928833
12499.0,225.0,50.0,0.0,60.50310586064407,6250,6250.0,199.1997995376587
12599.0,226.0,50.0,0.0,68.40264810285291,6300,6300.0,199.93076705932617
12699.0,227.0,50.0,0.0,60.11194859812012,6350,6350.0,200.7625503540039
12799.0,228.0,50.0,0.0,70.03577677138098,6400,6400.0,201.47647285461426
12899.0,229.0,50.0,0.0,73.67708798100062,6450,6450.0,202.15511226654053
12999.0,230.0,50.0,0.0,72.98396835572112,6500,6500.0,202.84019541740417
13099.0,231.0,50.0,0.0,73.4756398784394,6550,6550.0,203.52069544792175
13199.0,232.0,50.0,0.0,62.77169162985046,6600,6600.0,204.3172345161438
13299.0,233.0,50.0,0.0,60.60602207378949,6650,6650.0,205.14223670959473
13399.0,234.0,50.0,0.0,68.93988529260838,6700,6700.0,205.86750745773315
13499.0,235.0,50.0,0.0,69.58474489101835,6750,6750.0,206.5860583782196
13599.0,236.0,50.0,0.0,63.1342545790843,6800,6800.0,207.37802410125732
13699.0,237.0,50.0,0.0,60.87582261310486,6850,6850.0,208.19936990737915
13799.0,238.0,50.0,0.0,69.01618422464276,6900,6900.0,208.92383909225464
13899.0,239.0,50.0,0.0,61.54095360729447,6950,6950.0,209.7363076210022
13999.0,240.0,50.0,0.0,68.84833649918616,7000,7000.0,210.4625437259674
14099.0,241.0,50.0,0.0,66.60788742844221,7050,7050.0,211.21320819854736
14199.0,242.0,50.0,0.0,68.85534399567132,7100,7100.0,211.9393699169159
14299.0,243.0,50.0,0.0,62.569203026972325,7150,7150.0,212.73848605155945
14399.0,244.0,50.0,0.0,60.78262757267664,7200,7200.0,213.56109166145325
14499.0,245.0,50.0,0.0,69.50635504534158,7250,7250.0,214.28045201301575
14599.0,246.0,50.0,0.0,71.52881853325047,7300,7300.0,214.97947239875793
14699.0,247.0,50.0,0.0,74.88245342413319,7350,7350.0,215.6471872329712
14799.0,248.0,50.0,0.0,74.45741802377991,7400,7400.0,216.31871366500854
14899.0,249.0,50.0,0.0,74.86970153180803,7450,7450.0,216.98654198646545
14999.0,250.0,50.0,0.0,73.98582905396728,7500,7500.0,217.66234874725342
15099.0,251.0,50.0,0.0,73.70295539027578,7550,7550.0,218.3407485485077
15199.0,252.0,50.0,0.0,76.18527264140661,7600,7600.0,218.99704456329346
15299.0,253.0,50.0,0.0,71.51001357466527,7650,7650.0,219.6962492465973
15399.0,254.0,50.0,0.0,58.99017379884093,7700,7700.0,220.5438494682312
15499.0,255.0,50.0,0.0,75.16539130123117,7750,7750.0,221.20905184745789
15599.0,256.0,50.0,0.0,72.18627321057623,7800,7800.0,221.9017050266266
15699.0,257.0,50.0,0.0,70.65371341400143,7850,7850.0,222.60938358306885
15799.0,258.0,50.0,0.0,69.93154741262025,7900,7900.0,223.3243706226349
15899.0,259.0,50.0,0.0,75.86134549534917,7950,7950.0,223.983469247818
15999.0,260.0,50.0,0.0,61.20585770859193,8000,8000.0,224.80038714408875
16099.0,261.0,50.0,0.0,66.71920250721307,8050,8050.0,225.54979801177979
16199.0,262.0,50.0,0.0,62.046284297540225,8100,8100.0,226.35565066337585
16299.0,263.0,50.0,0.0,63.23223241241674,8150,8150.0,227.1463885307312
16399.0,264.0,50.0,0.0,65.06262871197742,8200,8200.0,227.91488122940063
16499.0,265.0,50.0,0.0,67.98040542818393,8250,8250.0,228.6503884792328
16599.0,266.0,50.0,0.0,61.68135843271881,8300,8300.0,229.4610080718994
16699.0,267.0,50.0,0.0,62.636329424695504,8350,8350.0,230.259268283844
16799.0,268.0,50.0,0.0,69.07606182337045,8400,8400.0,230.98310947418213
16899.0,269.0,50.0,0.0,71.71272943760026,8450,8450.0,231.68033695220947
16999.0,270.0,50.0,0.0,72.95157298907232,8500,8500.0,232.3657250404358
