buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
4050.0,81.0,50.0,0.0,1.209864060769519,4050,4050.0,41.32696509361267
4100.0,82.0,50.0,0.0,60.232128194089064,4100,4100.0,42.15708804130554
4150.0,83.0,50.0,0.0,74.22968830745924,4150,4150.0,42.83067345619202
4200.0,84.0,50.0,0.0,60.46657668938781,4200,4200.0,43.65757775306702
4250.0,85.0,50.0,0.0,47.92444163616856,4250,4250.0,44.70088839530945
4300.0,86.0,50.0,0.0,45.800355063520726,4300,4300.0,45.79258418083191
4350.0,87.0,50.0,0.0,27.213485283528524,4350,4350.0,47.629910707473755
4400.0,88.0,50.0,0.0,18.9443410073883,4400,4400.0,50.2692232131958
4450.0,89.0,50.0,0.0,49.641221999243484,4450,4450.0,51.27645134925842
4500.0,90.0,50.0,0.0,68.48366536414538,4500,4500.0,52.006552934646606
4550.0,91.0,50.0,0.0,63.81498950187141,4550,4550.0,52.79006862640381
4600.0,92.0,50.0,0.0,58.9516198854673,4600,4600.0,53.63822340965271
4650.0,93.0,50.0,0.0,54.70049800711081,4650,4650.0,54.552292346954346
4700.0,94.0,50.0,0.0,70.95225093826451,4700,4700.0,55.25699281692505
4750.0,95.0,50.0,0.0,68.64497376492191,4750,4750.0,55.9853789806366
4800.0,96.0,50.0,0.0,79.79210659483235,4800,4800.0,56.612008571624756
4850.0,97.0,50.0,0.0,76.4508662892156,4850,4850.0,57.26602482795715
4900.0,98.0,50.0,0.0,77.78571939899031,4900,4900.0,57.908817768096924
4950.0,99.0,50.0,0.0,63.20812381022421,4950,4950.0,58.69985628128052
5000.0,100.0,50.0,0.0,71.68282461130183,5000,5000.0,59.397374629974365
5050.0,101.0,50.0,0.0,69.9946831927144,5050,5050.0,60.11171555519104
5100.0,102.0,50.0,0.0,58.49067075876453,5100,5100.0,60.966554164886475
5150.0,103.0,50.0,0.0,58.71536618430417,5150,5150.0,61.81812238693237
5200.0,104.0,50.0,0.0,61.446198625310544,5200,5200.0,62.63184356689453
5250.0,105.0,50.0,0.0,40.88346328211736,5250,5250.0,63.85483360290527
5300.0,106.0,50.0,0.0,54.37208552262125,5300,5300.0,64.77442407608032
5350.0,107.0,50.0,0.0,52.97786256765114,5350,5350.0,65.71821594238281
5400.0,108.0,50.0,0.0,71.61494509577335,5400,5400.0,66.41639518737793
5450.0,109.0,50.0,0.0,63.670648956356736,5450,5450.0,67.20168733596802
5500.0,110.0,50.0,0.0,63.14472885113528,5500,5500.0,67.99352049827576
5550.0,111.0,50.0,0.0,65.95124552966617,5550,5550.0,68.75165748596191
5600.0,112.0,50.0,0.0,54.54798938771263,5600,5600.0,69.66828298568726
5650.0,113.0,50.0,0.0,59.266895917126185,5650,5650.0,70.51192545890808
5700.0,114.0,50.0,0.0,51.39755936882392,5700,5700.0,71.48473596572876
5750.0,115.0,50.0,0.0,57.745707109228675,5750,5750.0,72.35060214996338
5800.0,116.0,50.0,0.0,60.37323906156213,5800,5800.0,73.178786277771
5850.0,117.0,50.0,0.0,57.375202248660386,5850,5850.0,74.05024528503418
5900.0,118.0,50.0,0.0,65.78860769460739,5900,5900.0,74.81025552749634
5950.0,119.0,50.0,0.0,60.65359416633961,5950,5950.0,75.63461017608643
6000.0,120.0,50.0,0.0,61.001243788330264,6000,6000.0,76.45426607131958
6050.0,121.0,50.0,0.0,64.31448700723784,6050,6050.0,77.23169660568237
6100.0,122.0,50.0,0.0,65.17189278151626,6100,6100.0,77.99889969825745
6150.0,123.0,50.0,0.0,60.530505509983776,6150,6150.0,78.82493138313293
6200.0,124.0,50.0,0.0,58.23338761021057,6200,6200.0,79.68354654312134
6250.0,125.0,50.0,0.0,66.50196177666918,6250,6250.0,80.43540596961975
6300.0,126.0,50.0,0.0,54.19619201789559,6300,6300.0,81.35798168182373
6350.0,127.0,50.0,0.0,55.29987261119624,6350,6350.0,82.26214385032654
6400.0,128.0,50.0,0.0,53.20027042144904,6400,6400.0,83.20199060440063
6450.0,129.0,50.0,0.0,57.901921199457526,6450,6450.0,84.06552028656006
6500.0,130.0,50.0,0.0,56.843939864175326,6500,6500.0,84.94512295722961
6550.0,131.0,50.0,0.0,67.81178468521865,6550,6550.0,85.68245959281921
6600.0,132.0,50.0,0.0,56.80324640746184,6600,6600.0,86.56269145011902
6650.0,133.0,50.0,0.0,55.95517933442443,6650,6650.0,87.45626497268677
6700.0,134.0,50.0,0.0,56.51415149761078,6700,6700.0,88.34100008010864
6750.0,135.0,50.0,0.0,61.771691057892404,6750,6750.0,89.15043330192566
6800.0,136.0,50.0,0.0,57.40519932421705,6800,6800.0,90.0214364528656
6850.0,137.0,50.0,0.0,60.44216130345011,6850,6850.0,90.84867596626282
6900.0,138.0,50.0,0.0,57.955253607017795,6900,6900.0,91.71141219139099
6950.0,139.0,50.0,0.0,57.57721019237686,6950,6950.0,92.57981157302856
7000.0,140.0,50.0,0.0,63.567821070008044,7000,7000.0,93.36637425422668
7050.0,141.0,50.0,0.0,75.14031804587705,7050,7050.0,94.03179693222046
7100.0,142.0,50.0,0.0,74.818657286174,7100,7100.0,94.70008087158203
7150.0,143.0,50.0,0.0,63.26422135140924,7150,7150.0,95.49041843414307
7200.0,144.0,50.0,0.0,57.79564588084983,7200,7200.0,96.35553646087646
7250.0,145.0,50.0,0.0,61.38474174322373,7250,7250.0,97.17007184028625
7300.0,146.0,50.0,0.0,57.81489327212438,7300,7300.0,98.03490257263184
7350.0,147.0,50.0,0.0,56.69685413392032,7350,7350.0,98.91678643226624
7400.0,148.0,50.0,0.0,61.57749099160469,7400,7400.0,99.72877287864685
7450.0,149.0,50.0,0.0,43.7675425314756,7450,7450.0,100.87117385864258
7500.0,150.0,50.0,0.0,36.89778453396391,7500,7500.0,102.22626996040344
