buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
4050.0,81.0,50.0,0.0,1.1626951446786347,4050,4050.0,43.00354313850403
4100.0,82.0,50.0,0.0,78.16904610856696,4100,4100.0,43.64318323135376
4150.0,83.0,50.0,0.0,80.92412745648859,4150,4150.0,44.26104664802551
4200.0,84.0,50.0,0.0,84.74522711246618,4200,4200.0,44.85105109214783
4250.0,85.0,50.0,0.0,94.14819566859903,4250,4250.0,45.38212966918945
4300.0,86.0,50.0,0.0,80.73953128266452,4300,4300.0,46.00140619277954
4350.0,87.0,50.0,0.0,79.46397344875551,4350,4350.0,46.63062310218811
4400.0,88.0,50.0,0.0,77.82128081501214,4400,4400.0,47.27312207221985
4450.0,89.0,50.0,0.0,67.64508932891387,4450,4450.0,48.0122754573822
4500.0,90.0,50.0,0.0,70.98313485784263,4500,4500.0,48.71666884422302
4550.0,91.0,50.0,0.0,72.61787689997811,4550,4550.0,49.40520524978638
4600.0,92.0,50.0,0.0,68.0934185678625,4600,4600.0,50.13949179649353
4650.0,93.0,50.0,0.0,76.95586568890506,4650,4650.0,50.78921675682068
4700.0,94.0,50.0,0.0,80.66521477239596,4700,4700.0,51.40906310081482
4750.0,95.0,50.0,0.0,74.09509488572446,4750,4750.0,52.08387231826782
4800.0,96.0,50.0,0.0,77.32710238332363,4800,4800.0,52.73047757148743
4850.0,97.0,50.0,0.0,82.26906507219303,4850,4850.0,53.338239908218384
4900.0,98.0,50.0,0.0,81.02508427427534,4900,4900.0,53.9553337097168
4950.0,99.0,50.0,0.0,79.33411085466946,4950,4950.0,54.585580825805664
5000.0,100.0,50.0,0.0,83.1661274677373,5000,5000.0,55.186787843704224
