actor_ent,actor_logprob,actor_loss,batch_reward,buffer_size,critic_loss,critic_q1,critic_q2,critic_target_q,episode,episode_length,episode_reward,extr_reward,fps,frame,intr_reward,loss_pred,loss_vae,step,total_time
-1.5239953994750977,2.71864785194397,-5.611439788341523,41.679187622070316,4050.0,3592.12064453125,5.020256408452988,5.766502060890198,42.067969512939456,81.0,50.0,0.0,0.0,1.1904844621986532,4050,41.679187622070316,1.393155460357666,1.3256591057777405,4050.0,41.99972224235535
-1.5239953994750977,2.5595576763153076,-20.1946488571167,38.595354919433596,4100.0,1920.6963452148439,19.063547248840333,20.32958526611328,41.13269668579102,82.0,50.0,0.0,0.0,68.03280390324925,4100,38.595354919433596,1.3317564392089845,1.0261504459381103,4100.0,42.734663248062134
-1.5239953994750977,2.397399787902832,-39.042036361694336,37.93814910888672,4150.0,1223.9016577148439,37.41134239196777,38.30130432128906,44.583109588623046,83.0,50.0,0.0,0.0,68.17481264663267,4150,37.93814910888672,1.3394300842285156,1.0061853766441344,4150.0,43.46807336807251
-1.5239953994750977,2.4486372470855713,-47.75956634521484,36.88781265258789,4200.0,1122.3703369140626,46.46307846069336,46.33502410888672,49.27191925048828,84.0,50.0,0.0,0.0,70.62038050075886,4200,36.88781265258789,1.3066680717468262,0.9770161604881287,4200.0,44.17608428001404
-1.5239953994750977,2.4894701862335205,-53.510103149414064,36.90818328857422,4250.0,1165.1131201171875,51.86221588134766,51.89457015991211,55.76917755126953,85.0,50.0,0.0,0.0,63.553276787037404,4250,36.90818328857422,1.2986204528808594,0.977817153930664,4250.0,44.96282744407654
-1.5239953994750977,2.3846921634674074,-60.96415542602539,36.25668556213379,4300.0,1206.62458984375,59.2966633605957,59.3112760925293,62.05266784667969,86.0,50.0,0.0,0.0,72.62305720564514,4300,36.25668556213379,1.285230793952942,0.9595816206932067,4300.0,45.6513147354126
-1.5239953994750977,2.432538404464722,-69.42028305053711,37.08059753417969,4350.0,1211.9643896484374,67.49828689575196,67.54020431518555,70.17907257080078,87.0,50.0,0.0,0.0,70.34115840170443,4350,37.08059753417969,1.2703431367874145,0.98354642868042,4350.0,46.36213731765747
-1.5239953994750977,2.386063232421875,-75.47688690185547,35.28028335571289,4400.0,1048.9066625976564,73.55157348632812,73.5662271118164,76.10263610839844,88.0,50.0,0.0,0.0,72.53714967995346,4400,35.28028335571289,1.2550628995895385,0.9325467038154602,4400.0,47.051440954208374
-1.5239953994750977,2.4863174819946288,-84.39552612304688,35.923004913330075,4450.0,1001.6669775390625,82.57260284423828,82.57262634277343,84.3652685546875,89.0,50.0,0.0,0.0,62.16909657982102,4450,35.923004913330075,1.2333055830001831,0.9515308451652527,4450.0,47.85569953918457
-1.5239953994750977,2.428179063796997,-92.92651245117187,35.898173065185546,4500.0,971.5765795898437,90.89201568603515,90.92649291992187,92.3071273803711,90.0,50.0,0.0,0.0,75.30401297849772,4500,35.898173065185546,1.225732412338257,0.9510392951965332,4500.0,48.519675493240356
-1.5239953994750977,2.3895478439331055,-101.59489990234376,36.3428515625,4550.0,1039.9242846679688,99.61948333740234,99.64076293945313,100.87103912353516,91.0,50.0,0.0,0.0,67.9443292142032,4550,36.3428515625,1.2014053535461426,0.9644379758834839,4550.0,49.25557279586792
-1.5239953994750977,2.428934392929077,-107.01576629638672,34.163845748901366,4600.0,961.75607421875,105.20918090820312,105.22345550537109,106.887900390625,92.0,50.0,0.0,0.0,70.92230529146211,4600,34.163845748901366,1.2008092498779297,0.9021978759765625,4600.0,49.96057105064392
-1.5239953994750977,2.3645294952392577,-115.39189971923828,34.004585647583006,4650.0,864.2019958496094,113.67589904785156,113.67189270019531,114.61665924072265,93.0,50.0,0.0,0.0,67.94402103552531,4650,34.004585647583006,1.1662178659439086,0.8986349987983704,4650.0,50.69647192955017
-1.5239953994750977,2.41749605178833,-123.95566436767578,34.71341796875,4700.0,919.1247314453125,122.21929901123048,122.21555694580078,123.23619232177734,94.0,50.0,0.0,0.0,69.53320309650655,4700,34.71341796875,1.1661882066726685,0.9188871455192565,4700.0,51.41555428504944
-1.5239953994750977,2.438124713897705,-130.23064178466797,33.40839027404785,4750.0,916.3091284179687,128.40760833740234,128.43686248779298,129.7197637939453,95.0,50.0,0.0,0.0,64.46241870547206,4750,33.40839027404785,1.1384728574752807,0.8823926067352295,4750.0,52.191200733184814
-1.5239953994750977,2.3466158008575437,-138.1241552734375,33.40228370666504,4800.0,851.4448510742187,136.31389465332032,136.34035583496095,137.33364624023437,96.0,50.0,0.0,0.0,67.99521701125455,4800,33.40228370666504,1.119492497444153,0.8827604675292968,4800.0,52.92654752731323
-1.5239953994750977,2.469058198928833,-146.97485900878905,33.68368927001953,4850.0,931.4914672851562,144.99229919433594,144.99709411621095,145.30385070800781,97.0,50.0,0.0,0.0,71.06070319583954,4850,33.68368927001953,1.0812606477737428,0.8918951821327209,4850.0,53.63017177581787
-1.5239953994750977,2.5148848819732668,-154.30964904785156,32.93032745361328,4900.0,889.1606176757813,152.01835876464844,152.02337341308595,152.52805786132814,98.0,50.0,0.0,0.0,69.25997922020963,4900,32.93032745361328,1.062830696105957,0.8708955383300782,4900.0,54.35209035873413
-1.5239953994750977,2.560924367904663,-161.26150573730467,32.04086624145508,4950.0,825.9673229980468,158.69636657714844,158.70586975097658,159.2899005126953,99.0,50.0,0.0,0.0,65.2678714256993,4950,32.04086624145508,1.0431353735923767,0.8460446667671203,4950.0,55.118165016174316
